#attack;likelihood_of_attack;typical_severity;prerequisites;availability;confidentiality;confidentiality_access_control_authorization;mitigations
accessing_intercepting_modifyingHTTPCookies;high;high;relies_on_cookies, cookie_contains_sensitive_information, response_contains_cookie;none;read_data;gain_privileges;use_input_validation_for_cookies, generate_and_validate_MAC_for_cookies, use_ssl/tls_to_protect_cookie_in_transit, web_server_implements_all_relevant_security_patches
utilizing_RESTs_Trust_in_the_System_Resource_to_Obtain_Sensitive_Data;medium;very_high;opportunity_to_intercept_must_exist_beyond_the_point_where_SSL_is_terminated, attacker_can_insert_listener_in_the_client_server_communication_path;none;none;gain_privileges;implement_message_level_security_such_as_hmac_in_the_http_communication, utilize_defense_in_depth, enforce_principle_of_least_privilege
sniff_Application_Code;low;high;attacker_must_be_placed_in_the_communication_path_between_client_and_server, targeted_application_must_receive_application_code_from_the_server, attacker_must_employ_sniffer_on_network_without_being_detected;none;read_data;gain_privileges;encrypt_all_communication_between_the_client_and_server, use_SSL_SSH_SCP, use_ifconfig/ipconfig_or_other_tools_to_detect_the_sniffer_installed_in_the_network
sniffing_network_traffic;unknown;medium;target_communication_on_network_protocol_is_visible_by_network_sniffing_application, adversary_needs_logical_access_to_target_network;none;read_data;none;obfuscate_network_traffic_through_encryption_to_prevent_its_readability_by_network_sniffers, employ_appropriate_levels_of_segmentation_to_your_network_in_accordance_with_best_practices
cellular_traffic_intercept;unknown;low;none;none;read_data;none;encryption_of_all_data_packets_emanating_from_the_smartphone_to_a_retransmission_device_via_two_encrypted_tunnels_with_suite_b_cryptography
probe_audio_and_video_peripherals;low;high;adversary_must_place_malicious_code_on_target_device;none;read_data;none;prevent_unknown_code_from_executing_on_a_system_through_the_use_of_an_allowlist_policy, patch_installed_applications_as_soon_as_new_updates_become_available
wifi_MAC_address_tracking;unknown;low;none;none;none;none;automatic_randomization_of_WiFi_MAC_addresses, frequent_changing_of_handset_and_retransmission_device
wifi_SSID_tracking;low;none;none;none;none;do_not_enable_the_feature_of_Hidden_SSIDs, frequently_change_the_SSID_to_new_and_unrelated_values
cellular_broadcast_message_request;unknown;low;attacker_knows_targets_phone_number;none;none;none;frequent_changing_of_mobile_number
signal_strength_tracking;unknown;low;none;none;none;none;none;none
tcp_SYN_scan;unknown;low;software_is_not_on_windows_XP_SP_2, linux_and_unix_systems_requires_root_privileges_to_use_raw_sockets;none;other;bypass_protection_mechanism, hide_activities;none
tcp_connect_scan;unknown;low;adversary_needs_logical_access_to_the_target_network;none;read_data;none;employ_a_robust_network_defense_posture_that_includes_an_ids/ips_system
tcp_FIN_scan;unknown;low;fin_requires_use_of_raw_sockets, software_is_not_on_windows_XP_SP_2, linux_and_unix_systems_requires_root_privileges_to_use_raw_sockets;none;other;bypass_protection_mechanism, hide_activities;employ_a_robust_network_defense_posture_that_includes_an_ids/ips_system
tcp_xmas_scan;unknown;low;adversary_needs_logical_access_to_target_network, requires_use_of_raw_sockets, software_is_not_on_windows_XP_SP_2, linux_and_unix_systems_requires_root_privileges_to_use_raw_sockets;unreliable_execution;other;bypass_protection_mechanism, hide_activities;employ_a_robust_network_defense_posture_that_includes_an_ids/ips_system
tcp_null_scan;unknown;low;adversary_needs_logical_access_to_target_network, requires_use_of_raw_sockets, software_is_not_on_windows_XP_SP_2, linux_and_unix_systems_requires_root_privileges_to_use_raw_sockets;none;other;bypass_protection_mechanism, hide_activities;employ_a_robust_network_defense_posture_that_includes_an_ids/ips_system
tcp_ACK_scan;unknown;low;adversary_needs_logical_access_to_target_network, requires_use_of_raw_sockets, software_is_not_on_windows_XP_SP_2, linux_and_unix_systems_requires_root_privileges_to_use_raw_sockets;none;other;bypass_protection_mechanism, hide_activities;none
tcp_window_scan;tcp_window_scan;low;requires_use_of_raw_sockets, software_is_not_on_windows_XP_SP_2, linux_and_unix_systems_requires_root_privileges_to_use_raw_sockets;none;other;bypass_protection_mechanism, hide_activities;none
tcp_RPC_scan;unknown;low;none;none;other;bypass_protection_mechanism, hide_activities;employ_a_robust_network_defense_posture_that_includes_an_ids/ips_system
udp_scan;unknown;low;ability_to_send_UDP_datagrams_to_host_and_receive_ICMP_error_from_that_host;none;other;bypass_protection_mechanism, hide_activities;firewalls_or_ACLs, rate_limiting_mechanisms_governing_ICMP_error_messages
padding_oracle_crypto_attack;unknown;high;decrtypton_routine_does_not_work_propely, target_system_leaks_data, padding_oracle_remains_available_for_enough_time;none;none;none;use_a_message_authentication_code_MAC_or_another_mechanism_to_perform_verification_of_message_authenticity/integrity_prior_to_decryption, do_not_leak_information_back_to_the_user_as_to_any_cryptography_encountered_during_decryption
cryptanalysis_of_cellular_encryption;unknown;high;none;none;other;none;use_of_hardened_baseband_firmware_on_retransmission_device_to_detect_and_prevent_the_use_of_weak_cellular_encryption, monitor_cellular_RF_interface_to_detect_the_usage_of_weaker_than_expected_cellular_encryption
contradictory_destinations_in_traffic_routing_schemes;medium;high;adversary_must_be_aware_that_their_message_will_be_routed_using_CDN;none;read_data, modify_data;none;monitor_connections_checking_headers_in_traffic_for_contradictory_domain_names_or_empty_domain_names
block_logging_to_central_repository;unknown;low;none;none;none;none;none
bgp_route_disabling;unknown;unknown;adversary_must_have_control_of_router_that_manipulate_BGP_updates;other;none;none;implement_ingress_filters_to_check_the_validity_of_received_routes, implement_secure_BGP
orbital_jamming;low;high;attack_requires_knowladge_of_the_satellites_coordinates_for_targeting;other;none;none;none
wifi_jamming;medium;high;lack_of_anti_jam_features_in_802_11, lack_of_authentication_on_deauthentication/disassociation_packets_on_802_11_based_networks;other, resource_consumption;none;none;none
cellular_jamming;unknown;low;lack_of_anti_jam_features_in_cellular_technology;resource_consumption;none;none;by_using_a_private_cellular_LTE_network_jamming_countermeasures_could_be_developed_and_employed
dns_blocking;unknown;unknown;attack_requires_ability_to_conduct_deep_packet_inspection_with_an_InPath_device_that_can_drop_the_targeted_traffic_and/or_connection;other;none;none;hard_coded_alternate_DNS_server_in_applications, avoid_dependence_on_DNS, include_hosts_file/ip_address_in_the_application, ensure_best_practices_with_respect_to_communications_channel_protections, use_a_onion_domain_with_Tor_support
ip_address_blocking;low;high;attack_requires_ability_to_conduct_deep_packet_inspection_with_an_InPath_device_that_can_drop_the_targeted_traffic_and/or_connection;other;none;none;have_a_large_pool_of_backup_IPs_built_into_the_application_and_support_proxy_capability_in_the_application
cellular_data_injection;unknown;high;none;modify_data, resource_consumption;none;none;commercial_defensive_technology_to_detect_and_alert_to_any_attempts_to_modify_mobile_technology_data_flows_or_to_inject_new_data_into_existing_data_flows_and_signaling_data
tcp_RST_injection;unknown;unknown;on/in_path_device;none;none;none;none
mobile_device_fault_injection;unknown;unknown;none;none;read_data;none;strong_physical_security_of_all_devices_that_contain_secret_key_information, frequent_changes_to_secret_keys_and_certificates
carry_off_GPS_attack;low;high;target_must_be_relying_on_valid_GPS_signal_to_preform_critical_operations;none;none;none;none
terrestrial_jamming;low;high;none;other;none;none;none
evil_twin_wifi_attack;unknown;low;none;none;read_data;none;commercial_defensive_technology_that_monitors_for_rogue_Wi_Fi_access_points_man_in_the_middle_attacks_and_anomalous_activity_with_the_mobile_device_baseband_radios
cellular_rogue_base_station;unknown;low;none;none;read_data;none;passively_monitor_cellular_network_connection_for_real_time_threat_detection_and_logging_for_manual_review
interception;low;medium;target_must_transmit_data_over_medium_that_is_accessible_to_adversary;none;read_data;none;leverage_encryption_to_encode_transmission_of_data
sniffing_attacks;unknown;medium;target_must_transmit_data_over_medium_that_is_accessible_to_adversary;none;read_data;none;encrypt_sensitive_information_when_transmitted_on_insecure_mediums_to_prevent_interception
footprinting;high;very_low;application_must_publicize_identifiable_information_about_system_or_application_through_voluntary_or_involuntary_means;none;read_data;none;keep_patches_up_to date, shut_down_unnecessary_services, change_default_passwords_by_choosing_strong_passwords
protocol_analysis;low;low;access_to_binary_executable, ability_to_observe_and_interact_with_communication_channel_between_communicating_processes;none;read_data;none;none